x,y,z,old_gid,gid,dim1,dim2,dim3,dim01
1889.785,21298.027,40.857,6801,9300,2,2,0.644,1
1889.793,21298.027,40.841,6801,9300,2,2,0.644,1
1890.453,21298.223,39.783,5154,8680,2,2,1.883,1.585
1890.422,21298.182,39.788,5154,8680,2,2,1.883,1.585
1890.416,21298.221,39.766,5154,8680,2,2,1.883,1.585
1890.416,21298.221,39.766,5154,8680,2,2,1.883,1.585
1890.453,21298.223,39.783,5154,8680,2,2,1.883,1.585
1890.422,21298.182,39.788,5154,8680,2,2,1.883,1.585
1890.099,21298.324,40.04,5154,8681,2,1.907,1.874,2.322
1890.113,21298.365,40.049,5154,8681,2,1.907,1.874,2.322
1890.081,21298.283,40.121,5154,8681,2,1.907,1.874,2.322
1890.05,21298.322,40.053,5154,8681,2,1.907,1.874,2.322
1890.07,21298.363,40.016,5154,8681,2,1.907,1.874,2.322
1890.108,21298.324,40.026,5154,8681,2,1.907,1.874,2.322
1890.11,21298.365,40.034,5154,8681,2,1.907,1.874,2.322
1890.043,21298.32,40.068,5154,8681,2,1.907,1.874,2.322
1890.062,21298.281,40.046,5154,8681,2,1.907,1.874,2.322
1890.109,21298.365,40.004,5154,8681,2,1.907,1.874,2.322
1890.043,21298.32,40.068,5154,8681,2,1.907,1.874,2.322
1890.108,21298.324,40.026,5154,8681,2,1.907,1.874,2.322
1890.081,21298.283,40.121,5154,8681,2,1.907,1.874,2.322
1890.05,21298.322,40.053,5154,8681,2,1.907,1.874,2.322
1890.062,21298.281,40.046,5154,8681,2,1.907,1.874,2.322
1890.099,21298.324,40.04,5154,8681,2,1.907,1.874,2.322
1897.372,21301.375,38.159,900,100,2,2,2,2
1897.312,21301.451,38.158,900,100,2,2,2,2
1897.282,21301.449,38.16,900,100,2,2,2,2
1897.272,21301.408,38.16,900,100,2,2,2,2
1897.337,21301.453,38.159,900,100,2,2,2,2
1897.353,21301.494,38.161,900,100,2,2,2,2
1897.292,21301.451,38.158,900,100,2,2,2,2
1897.352,21301.414,38.159,900,100,2,2,2,2
1897.328,21301.492,38.158,900,100,2,2,2,2
1897.351,21301.375,38.159,900,100,2,2,2,2
1897.327,21301.412,38.157,900,100,2,2,2,2
1897.327,21301.453,38.16,900,100,2,2,2,2
1897.268,21301.408,38.157,900,100,2,2,2,2
1897.374,21301.455,38.152,900,100,2,2,2,2
1897.269,21301.488,38.157,900,100,2,2,2,2
1897.268,21301.449,38.158,900,100,2,2,2,2
1897.288,21301.49,38.159,900,100,2,2,2,2
1897.348,21301.453,38.159,900,100,2,2,2,2
1897.286,21301.41,38.162,900,100,2,2,2,2
1897.264,21301.488,38.153,900,100,2,2,2,2
1897.361,21301.375,38.16,900,100,2,2,2,2
1897.365,21301.496,38.153,900,100,2,2,2,2
1897.298,21301.451,38.156,900,100,2,2,2,2
1897.363,21301.455,38.157,900,100,2,2,2,2
1897.252,21301.408,38.162,900,100,2,2,2,2
1897.254,21301.488,38.156,900,100,2,2,2,2
1897.317,21301.451,38.159,900,100,2,2,2,2
1897.359,21301.494,38.157,900,100,2,2,2,2
1897.323,21301.412,38.152,900,100,2,2,2,2
1897.258,21301.447,38.157,900,100,2,2,2,2
1897.297,21301.41,38.16,900,100,2,2,2,2
1897.362,21301.416,38.16,900,100,2,2,2,2
1897.298,21301.49,38.159,900,100,2,2,2,2
1897.317,21301.412,38.157,900,100,2,2,2,2
1897.323,21301.492,38.16,900,100,2,2,2,2
1897.342,21301.414,38.16,900,100,2,2,2,2
1897.312,21301.412,38.16,900,100,2,2,2,2
1897.343,21301.453,38.158,900,100,2,2,2,2
1897.272,21301.449,38.161,900,100,2,2,2,2
1897.373,21301.416,38.156,900,100,2,2,2,2
1897.368,21301.496,38.157,900,100,2,2,2,2
1897.302,21301.451,38.159,900,100,2,2,2,2
1897.308,21301.492,38.157,900,100,2,2,2,2
1897.302,21301.41,38.159,900,100,2,2,2,2
1897.263,21301.449,38.156,900,100,2,2,2,2
1897.282,21301.41,38.159,900,100,2,2,2,2
1897.344,21301.494,38.154,900,100,2,2,2,2
1897.333,21301.492,38.16,900,100,2,2,2,2
1897.262,21301.408,38.161,900,100,2,2,2,2
1897.318,21301.492,38.157,900,100,2,2,2,2
1897.307,21301.412,38.16,900,100,2,2,2,2
1897.303,21301.49,38.16,900,100,2,2,2,2
1897.339,21301.494,38.156,900,100,2,2,2,2
1897.374,21301.496,38.156,900,100,2,2,2,2
1897.274,21301.488,38.156,900,100,2,2,2,2
1897.337,21301.414,38.16,900,100,2,2,2,2
1897.332,21301.414,38.16,900,100,2,2,2,2
1897.347,21301.375,38.157,900,100,2,2,2,2
1897.333,21301.453,38.155,900,100,2,2,2,2
1897.257,21301.408,38.16,900,100,2,2,2,2
1897.347,21301.414,38.159,900,100,2,2,2,2
1897.259,21301.488,38.155,900,100,2,2,2,2
1897.287,21301.449,38.159,900,100,2,2,2,2
1897.357,21301.414,38.159,900,100,2,2,2,2
1897.293,21301.49,38.159,900,100,2,2,2,2
1897.357,21301.375,38.158,900,100,2,2,2,2
1897.277,21301.41,38.16,900,100,2,2,2,2
1897.354,21301.455,38.154,900,100,2,2,2,2
1897.367,21301.416,38.157,900,100,2,2,2,2
1897.308,21301.451,38.155,900,100,2,2,2,2
1897.253,21301.447,38.159,900,100,2,2,2,2
1897.277,21301.449,38.16,900,100,2,2,2,2
1897.278,21301.49,38.159,900,100,2,2,2,2
1897.313,21301.492,38.158,900,100,2,2,2,2
1897.358,21301.455,38.158,900,100,2,2,2,2
1897.283,21301.49,38.158,900,100,2,2,2,2
1897.366,21301.375,38.16,900,100,2,2,2,2
1897.292,21301.41,38.159,900,100,2,2,2,2
1897.369,21301.455,38.153,900,100,2,2,2,2
1897.323,21301.453,38.158,900,100,2,2,2,2
1897.348,21301.494,38.16,900,100,2,2,2,2
1889.544,21293.912,38.896,2804,400,2,1.585,1.459,
1889.969,21294.293,38.61,2804,500,2,1.585,1.737,
1889.969,21294.293,38.61,2804,500,2,1.585,1.737,
1899.16,21298.113,39.083,3259,700,1,2,1.755,2
1899.176,21298.033,39.12,3259,700,1,2,1.755,2
1899.135,21298.029,39.023,3259,700,1,2,1.755,2
1899.142,21298.072,39.041,3259,700,1,2,1.755,2
1899.178,21298.115,39.117,3259,700,1,2,1.755,2
1899.154,21298.113,39.074,3259,700,1,2,1.755,2
1899.141,21298.113,39.043,3259,700,1,2,1.755,2
1899.154,21298.072,39.072,3259,700,1,2,1.755,2
1899.174,21298.074,39.111,3259,700,1,2,1.755,2
1899.161,21298.072,39.087,3259,700,1,2,1.755,2
1899.139,21298.111,39.038,3259,700,1,2,1.755,2
1899.141,21298.031,39.033,3259,700,1,2,1.755,2
1899.138,21298.07,39.03,3259,700,1,2,1.755,2
1899.149,21298.072,39.062,3259,700,1,2,1.755,2
1899.136,21298.111,39.033,3259,700,1,2,1.755,2
1899.167,21298.033,39.1,3259,700,1,2,1.755,2
1899.151,21298.031,39.059,3259,700,1,2,1.755,2
1899.147,21298.113,39.058,3259,700,1,2,1.755,2
1899.139,21298.07,39.036,3259,700,1,2,1.755,2
1899.168,21298.074,39.101,3259,700,1,2,1.755,2
1899.179,21298.074,39.12,3259,700,1,2,1.755,2
1899.165,21298.072,39.097,3259,700,1,2,1.755,2
1899.138,21298.029,39.028,3259,700,1,2,1.755,2
1899.161,21298.113,39.088,3259,700,1,2,1.755,2
1899.167,21298.115,39.097,3259,700,1,2,1.755,2
1899.16,21298.031,39.086,3259,700,1,2,1.755,2
1899.181,21298.033,39.124,3259,700,1,2,1.755,2
1899.186,21298.115,39.124,3259,700,1,2,1.755,2
1899.152,21298.113,39.069,3259,700,1,2,1.755,2
1899.151,21298.072,39.067,3259,700,1,2,1.755,2
1899.17,21298.115,39.103,3259,700,1,2,1.755,2
1899.129,21298.07,39.01,3259,700,1,2,1.755,2
1899.169,21298.074,39.107,3259,700,1,2,1.755,2
1899.154,21298.031,39.07,3259,700,1,2,1.755,2
1899.128,21298.07,39.004,3259,700,1,2,1.755,2
1899.127,21298.111,39.007,3259,700,1,2,1.755,2
1899.131,21298.029,39.007,3259,700,1,2,1.755,2
1899.13,21298.111,39.018,3259,700,1,2,1.755,2
1899.131,21298.029,39.013,3259,700,1,2,1.755,2
1899.134,21298.111,39.028,3259,700,1,2,1.755,2
1899.163,21298.031,39.09,3259,700,1,2,1.755,2
1899.156,21298.113,39.079,3259,700,1,2,1.755,2
1899.135,21298.07,39.026,3259,700,1,2,1.755,2
1899.148,21298.031,39.055,3259,700,1,2,1.755,2
1899.146,21298.113,39.053,3259,700,1,2,1.755,2
1899.172,21298.033,39.11,3259,700,1,2,1.755,2
1899.144,21298.072,39.046,3259,700,1,2,1.755,2
1899.148,21298.031,39.048,3259,700,1,2,1.755,2
1899.181,21298.115,39.121,3259,700,1,2,1.755,2
1899.171,21298.033,39.104,3259,700,1,2,1.755,2
1899.16,21298.031,39.079,3259,700,1,2,1.755,2
1899.142,21298.031,39.038,3259,700,1,2,1.755,2
1899.162,21298.113,39.094,3259,700,1,2,1.755,2
1899.15,21298.031,39.066,3259,700,1,2,1.755,2
1899.146,21298.072,39.051,3259,700,1,2,1.755,2
1899.157,21298.031,39.075,3259,700,1,2,1.755,2
1899.144,21298.031,39.044,3259,700,1,2,1.755,2
1899.162,21298.072,39.092,3259,700,1,2,1.755,2
1899.152,21298.113,39.062,3259,700,1,2,1.755,2
1899.131,21298.07,39.015,3259,700,1,2,1.755,2
1899.147,21298.072,39.057,3259,700,1,2,1.755,2
1899.156,21298.072,39.077,3259,700,1,2,1.755,2
1899.133,21298.07,39.02,3259,700,1,2,1.755,2
1899.175,21298.033,39.115,3259,700,1,2,1.755,2
1899.165,21298.033,39.095,3259,700,1,2,1.755,2
1899.127,21298.029,39.003,3259,700,1,2,1.755,2
1899.127,21298.111,39.013,3259,700,1,2,1.755,2
1899.173,21298.115,39.107,3259,700,1,2,1.755,2
1899.16,21298.072,39.081,3259,700,1,2,1.755,2
1899.143,21298.113,39.049,3259,700,1,2,1.755,2
1899.132,21298.111,39.023,3259,700,1,2,1.755,2
1899.176,21298.074,39.116,3259,700,1,2,1.755,2
1899.174,21298.115,39.113,3259,700,1,2,1.755,2
1899.134,21298.029,39.018,3259,700,1,2,1.755,2
1895.126,21297.93,39.032,3079,800,2,1.459,1.399,1.585
1895.139,21297.891,39.012,3079,800,2,1.459,1.399,1.585
1895.129,21297.891,39.03,3079,800,2,1.459,1.399,1.585
1895.126,21297.93,39.038,3079,800,2,1.459,1.399,1.585
1895.129,21297.971,39.012,3079,800,2,1.459,1.399,1.585
1895.126,21297.891,39.046,3079,800,2,1.459,1.399,1.585
1895.126,21297.891,39.04,3079,800,2,1.459,1.399,1.585
1895.134,21297.932,39.013,3079,800,2,1.459,1.399,1.585
1895.135,21297.891,39.015,3079,800,2,1.459,1.399,1.585
1895.136,21297.932,39.008,3079,800,2,1.459,1.399,1.585
1895.132,21297.971,39.009,3079,800,2,1.459,1.399,1.585
1895.128,21297.971,39.018,3079,800,2,1.459,1.399,1.585
1895.125,21297.971,39.029,3079,800,2,1.459,1.399,1.585
1895.13,21297.891,39.037,3079,800,2,1.459,1.399,1.585
1895.136,21297.932,39.001,3079,800,2,1.459,1.399,1.585
1895.14,21297.891,39,3079,800,2,1.459,1.399,1.585
1895.13,21297.93,39.022,3079,800,2,1.459,1.399,1.585
1895.133,21297.891,39.02,3079,800,2,1.459,1.399,1.585
1895.133,21297.932,39.018,3079,800,2,1.459,1.399,1.585
1895.139,21297.891,39.006,3079,800,2,1.459,1.399,1.585
1895.126,21297.971,39.023,3079,800,2,1.459,1.399,1.585
1895.129,21297.93,39.027,3079,800,2,1.459,1.399,1.585
1895.132,21297.971,39.002,3079,800,2,1.459,1.399,1.585
1895.132,21297.891,39.026,3079,800,2,1.459,1.399,1.585
1899.113,21298.719,38.372,1117,1700,2,1.907,1.9,
1895.038,21298.938,38.706,3080,1200,2,1.459,1.628,2
1895.041,21298.896,38.674,3080,1200,2,1.459,1.628,2
1895.016,21298.977,38.736,3080,1200,2,1.459,1.628,2
1895.032,21298.938,38.723,3080,1200,2,1.459,1.628,2
1895.043,21298.896,38.72,3080,1200,2,1.459,1.628,2
1895.036,21298.938,38.675,3080,1200,2,1.459,1.628,2
1895.032,21298.938,38.656,3080,1200,2,1.459,1.628,2
1895.011,21298.977,38.739,3080,1200,2,1.459,1.628,2
1895.025,21298.938,38.739,3080,1200,2,1.459,1.628,2
1895.034,21298.896,38.741,3080,1200,2,1.459,1.628,2
1895.032,21298.896,38.747,3080,1200,2,1.459,1.628,2
1895.029,21298.979,38.71,3080,1200,2,1.459,1.628,2
1895.031,21298.979,38.66,3080,1200,2,1.459,1.628,2
1895.037,21298.896,38.662,3080,1200,2,1.459,1.628,2
1895.045,21298.898,38.685,3080,1200,2,1.459,1.628,2
1895.027,21298.979,38.649,3080,1200,2,1.459,1.628,2
1895.035,21298.979,38.671,3080,1200,2,1.459,1.628,2
1895.037,21298.938,38.682,3080,1200,2,1.459,1.628,2
1895.034,21298.938,38.718,3080,1200,2,1.459,1.628,2
1895.027,21298.979,38.716,3080,1200,2,1.459,1.628,2
1895.035,21298.979,38.701,3080,1200,2,1.459,1.628,2
1895.044,21298.898,38.713,3080,1200,2,1.459,1.628,2
1895.038,21298.938,38.691,3080,1200,2,1.459,1.628,2
1895.04,21298.896,38.65,3080,1200,2,1.459,1.628,2
1895.029,21298.979,38.635,3080,1200,2,1.459,1.628,2
1895.004,21298.977,38.747,3080,1200,2,1.459,1.628,2
1895.033,21298.979,38.684,3080,1200,2,1.459,1.628,2
1895.035,21298.896,38.735,3080,1200,2,1.459,1.628,2
1895.034,21298.938,38.65,3080,1200,2,1.459,1.628,2
1895.032,21298.979,38.631,3080,1200,2,1.459,1.628,2
1895.039,21298.938,38.714,3080,1200,2,1.459,1.628,2
1895.037,21298.938,38.645,3080,1200,2,1.459,1.628,2
1895.027,21298.896,38.75,3080,1200,2,1.459,1.628,2
1895.031,21298.938,38.729,3080,1200,2,1.459,1.628,2
1895.035,21298.979,38.678,3080,1200,2,1.459,1.628,2
1895.031,21298.979,38.705,3080,1200,2,1.459,1.628,2
1895.027,21298.938,38.733,3080,1200,2,1.459,1.628,2
1895.035,21298.979,38.694,3080,1200,2,1.459,1.628,2
1895.045,21298.898,38.647,3080,1200,2,1.459,1.628,2
1895.046,21298.898,38.693,3080,1200,2,1.459,1.628,2
1895.025,21298.977,38.721,3080,1200,2,1.459,1.628,2
1895.018,21298.938,38.747,3080,1200,2,1.459,1.628,2
1895.041,21298.896,38.726,3080,1200,2,1.459,1.628,2
1895.009,21298.977,38.744,3080,1200,2,1.459,1.628,2
1895.038,21298.938,38.638,3080,1200,2,1.459,1.628,2
1895.04,21298.938,38.701,3080,1200,2,1.459,1.628,2
1895.04,21298.938,38.632,3080,1200,2,1.459,1.628,2
1895.039,21298.896,38.731,3080,1200,2,1.459,1.628,2
1895.026,21298.977,38.64,3080,1200,2,1.459,1.628,2
1895.039,21298.896,38.657,3080,1200,2,1.459,1.628,2
1895.022,21298.977,38.727,3080,1200,2,1.459,1.628,2
1895.047,21298.898,38.702,3080,1200,2,1.459,1.628,2
1895.036,21298.938,38.666,3080,1200,2,1.459,1.628,2
1895.022,21298.938,38.743,3080,1200,2,1.459,1.628,2
1895.02,21298.977,38.732,3080,1200,2,1.459,1.628,2
1895.046,21298.898,38.708,3080,1200,2,1.459,1.628,2
1889.579,21297.729,39.406,2808,2300,2,1.585,1.369,1
1889.538,21297.686,39.441,2808,2300,2,1.585,1.369,1
1889.538,21297.686,39.441,2808,2300,2,1.585,1.369,1
1891.299,21300.758,39.195,2863,3000,1,1.585,0.737,1
1891.289,21300.797,39.196,2863,3000,1,1.585,0.737,1
1891.265,21300.756,39.2,2863,3000,1,1.585,0.737,1
1891.291,21300.758,39.181,2863,3000,1,1.585,0.737,1
1891.292,21300.797,39.185,2863,3000,1,1.585,0.737,1
1891.289,21300.836,39.201,2863,3000,1,1.585,0.737,1
1891.289,21300.836,39.176,2863,3000,1,1.585,0.737,1
1894.478,21293.141,38.834,3023,3200,2.807,1.652,1.213,
1893.974,21293.525,38.671,3024,3300,2.585,1.503,1.585,1.585
1893.974,21293.525,38.662,3024,3300,2.585,1.503,1.585,1.585
1893.981,21293.57,38.625,3024,3300,2.585,1.503,1.585,1.585
1893.967,21293.523,38.649,3024,3300,2.585,1.503,1.585,1.585
1893.963,21293.523,38.637,3024,3300,2.585,1.503,1.585,1.585
1893.964,21293.523,38.629,3024,3300,2.585,1.503,1.585,1.585
1888.769,21298.729,39.431,2769,4000,2,1.807,1.1,
1888.769,21298.729,39.431,2769,4000,2,1.807,1.1,
1889.531,21299.295,38.326,431,5500,2,2,2,1
1889.51,21299.373,38.336,431,5500,2,2,2,1
1889.55,21299.256,38.323,431,5500,2,2,2,1
1889.518,21299.334,38.331,431,5500,2,2,2,1
